UDI,Product ID,p_failure,rank,alert_topk,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
4771,L51950,0.9901960784313726,81,False,L,303.5,311.9,1344,49.3,93,1,0,1,0,0,0
5491,L52670,0.9901960784313726,82,False,L,302.6,312.1,1288,68.5,0,1,0,0,1,0,0
7168,L54347,0.9901960784313726,83,False,L,300.3,310.3,1362,60.3,206,1,0,0,0,1,0
7510,L54689,0.9901960784313726,84,False,L,300.6,311.9,1372,60.1,212,1,0,0,0,1,0
7594,L54773,0.9901960784313726,85,False,L,300.5,311.2,1270,67.5,208,1,0,0,0,1,0
7764,L54943,0.9901960784313726,86,False,L,300.4,311.6,1200,76.6,3,1,0,0,1,0,0
8193,L55372,0.9901960784313726,87,False,L,299.6,310.9,1229,65.2,209,1,0,0,0,1,0
8399,L55578,0.9901960784313726,88,False,L,298.5,309.7,2617,12.1,102,1,0,0,1,0,0
9085,L56264,0.9901960784313726,89,False,L,297.2,307.9,1326,75.4,172,1,0,0,1,1,0
9660,L56839,0.9901960784313726,90,False,L,298.9,309.8,1287,61.9,216,1,0,0,0,1,0
4832,L52011,0.9890185493383754,91,False,L,303.5,312.0,1366,54.5,30,1,0,1,0,0,0
4171,M19030,0.988835218080723,92,False,M,302.2,310.6,1355,51.5,126,1,0,1,0,0,0
4621,L51800,0.9860732775410032,93,False,L,303.1,311.3,1336,52.6,172,1,0,1,0,0,0
4248,L51427,0.9853355124283576,94,False,L,302.6,311.0,1369,60.0,93,1,0,1,0,0,0
4401,L51580,0.9849242473613741,95,False,L,302.3,310.1,1353,50.9,36,1,0,1,0,0,0
4841,L52020,0.9847047742414041,96,False,L,303.4,311.9,1298,63.9,59,1,0,1,0,0,0
260,M15119,0.9836917791142367,97,False,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
51,L47230,0.9831038798498123,98,False,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0
169,L47348,0.9831038798498123,99,False,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
208,M15067,0.9831038798498123,100,False,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
249,L47428,0.9831038798498123,101,False,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
250,L47429,0.9831038798498123,102,False,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0
464,L47643,0.9831038798498123,103,False,L,297.4,308.7,2874,4.2,118,1,0,0,1,0,0
747,L47926,0.9831038798498123,104,False,L,296.8,308.1,1289,62.0,199,1,0,0,0,1,0
1125,M15984,0.9831038798498123,105,False,M,296.7,307.8,1258,69.0,105,1,0,0,1,0,0
1336,L48515,0.9831038798498123,106,False,L,299.0,310.4,1371,53.8,228,1,0,0,0,1,0
1420,L48599,0.9831038798498123,107,False,L,298.7,309.8,1354,53.3,212,1,0,0,0,1,0
1809,L48988,0.9831038798498123,108,False,L,298.1,307.7,2567,12.8,125,1,0,0,1,0,0
2016,L49195,0.9831038798498123,109,False,L,298.5,308.2,1301,66.3,42,1,0,0,1,0,0
2234,L49413,0.9831038798498123,110,False,L,299.5,308.7,2549,13.0,179,1,0,0,1,0,0
3237,M18096,0.9831038798498123,111,False,M,300.8,309.4,1342,62.4,113,1,0,1,0,0,0
3357,L50536,0.9831038798498123,112,False,L,301.6,310.8,1355,57.8,195,1,0,0,0,1,0
3458,M18317,0.9831038798498123,113,False,M,301.5,310.4,2639,12.0,21,1,0,0,1,0,0
3788,L50967,0.9831038798498123,114,False,L,302.3,310.8,1377,47.3,22,1,0,1,0,0,0
3794,L50973,0.9831038798498123,115,False,L,302.3,310.9,1379,49.3,34,1,0,1,0,0,0
3807,M18666,0.9831038798498123,116,False,M,302.3,310.9,1360,44.0,67,1,0,1,0,0,0
3815,M18674,0.9831038798498123,117,False,M,302.1,310.6,1326,59.1,88,1,0,1,0,0,0
3868,M18727,0.9831038798498123,118,False,M,302.7,311.6,2709,9.7,2,1,0,0,1,0,0
4079,H33492,0.9831038798498123,119,False,H,302.1,310.7,1294,62.4,101,1,0,1,0,0,0
4081,L51260,0.9831038798498123,120,False,L,302.0,310.4,1357,58.0,108,1,0,1,0,0,0
4088,L51267,0.9831038798498123,121,False,L,301.9,310.4,1376,54.9,126,1,0,1,0,0,0
4097,L51276,0.9831038798498123,122,False,L,301.9,310.4,1370,51.7,153,1,0,1,0,0,0
4120,L51299,0.9831038798498123,123,False,L,302.1,310.7,1325,45.1,208,1,0,1,0,0,0
4121,M18980,0.9831038798498123,124,False,M,302.1,310.7,1376,46.3,210,1,0,1,0,0,0
4131,L51310,0.9831038798498123,125,False,L,301.9,310.4,1286,62.8,22,1,0,1,0,0,0
4152,M19011,0.9831038798498123,126,False,M,301.9,310.4,1373,48.0,73,1,0,1,0,0,0
4156,L51335,0.9831038798498123,127,False,L,302.0,310.5,1370,44.4,85,1,0,1,0,0,0
4212,L51391,0.9831038798498123,128,False,L,302.1,310.7,1314,52.8,8,1,0,1,0,0,0
4226,L51405,0.9831038798498123,129,False,L,302.1,310.7,1359,49.3,41,1,0,1,0,0,0
4259,M19118,0.9831038798498123,130,False,M,302.7,311.1,1297,60.7,125,1,0,1,0,0,0
4280,L51459,0.9831038798498123,131,False,L,302.0,310.1,1361,45.4,174,1,0,1,0,0,0
4283,L51462,0.9831038798498123,132,False,L,301.9,309.9,1374,48.5,180,1,0,1,0,0,0
4286,L51465,0.9831038798498123,133,False,L,301.7,309.9,1317,49.0,187,1,0,1,0,0,0
4327,L51506,0.9831038798498123,134,False,L,301.6,310.1,1362,55.8,70,1,0,1,0,0,0
4356,H33769,0.9831038798498123,135,False,H,302.0,309.8,1280,57.3,147,1,0,1,0,0,0
4362,M19221,0.9831038798498123,136,False,M,302.1,310.1,1379,48.2,166,1,0,1,0,0,0
4392,M19251,0.9831038798498123,137,False,M,302.2,310.1,1368,51.6,12,1,0,1,0,0,0
4422,L51601,0.9831038798498123,138,False,L,302.6,310.2,1325,62.4,92,1,0,1,0,0,0
4428,M19287,0.9831038798498123,139,False,M,302.4,310.1,1379,48.9,107,1,0,1,0,0,0
4442,L51621,0.9831038798498123,140,False,L,302.5,310.2,1329,50.6,148,1,0,1,0,0,0
4449,L51628,0.9831038798498123,141,False,L,302.4,310.3,1374,51.2,163,1,0,1,0,0,0
4450,M19309,0.9831038798498123,142,False,M,302.4,310.3,1378,54.3,165,1,0,1,0,0,0
4496,L51675,0.9831038798498123,143,False,L,302.6,310.4,1359,57.2,67,1,0,1,0,0,0
4528,M19387,0.9831038798498123,144,False,M,302.4,310.5,1372,45.7,144,1,0,1,0,0,0
4534,M19393,0.9831038798498123,145,False,M,302.4,310.3,1375,52.5,161,1,0,1,0,0,0
4545,L51724,0.9831038798498123,146,False,L,302.5,310.4,1349,55.1,187,1,0,1,0,0,0
4566,H33979,0.9831038798498123,147,False,H,302.7,310.8,1275,55.0,25,1,0,1,0,0,0
4580,L51759,0.9831038798498123,148,False,L,303.0,311.2,1374,48.2,65,1,0,1,0,0,0
4597,L51776,0.9831038798498123,149,False,L,303.0,311.2,1361,47.6,106,1,0,1,0,0,0
4601,L51780,0.9831038798498123,150,False,L,303.0,311.0,1359,44.2,115,1,0,1,0,0,0
4602,M19461,0.9831038798498123,151,False,M,303.0,311.1,1372,54.3,117,1,0,1,0,0,0
4622,L51801,0.9831038798498123,152,False,L,303.0,311.2,1341,51.0,174,1,0,1,0,0,0
4633,M19492,0.9831038798498123,153,False,M,302.9,311.2,1330,53.7,200,1,0,1,0,0,0
4670,M19529,0.9831038798498123,154,False,M,303.3,311.5,1373,47.3,60,1,0,1,0,0,0
4719,L51898,0.9831038798498123,155,False,L,303.3,311.6,1337,56.8,187,1,0,1,0,0,0
4724,L51903,0.9831038798498123,156,False,L,303.4,311.8,1366,50.9,200,1,0,1,0,0,0
4728,M19587,0.9831038798498123,157,False,M,303.4,311.8,1341,47.0,210,1,0,1,0,0,0
4760,L51939,0.9831038798498123,158,False,L,303.5,311.6,1361,46.5,62,1,0,1,0,0,0
4834,L52013,0.9831038798498123,159,False,L,303.4,311.9,1377,41.6,34,1,0,1,0,0,0
4837,L52016,0.9831038798498123,160,False,L,303.3,311.8,1315,62.0,42,1,0,1,0,0,0
4845,M19704,0.9831038798498123,161,False,M,303.4,311.8,1316,50.9,69,1,0,1,0,0,0
4985,L52164,0.9831038798498123,162,False,L,303.8,313.1,1256,58.7,213,1,0,0,0,1,0
4989,L52168,0.9831038798498123,163,False,L,303.8,313.1,2497,13.0,5,1,0,0,1,0,0
5335,M20194,0.9831038798498123,164,False,M,303.4,312.6,2706,9.8,65,1,0,0,1,0,0
5735,L52914,0.9831038798498123,165,False,L,302.3,311.8,1369,56.2,208,1,0,0,0,1,0
6025,L53204,0.9831038798498123,166,False,L,300.7,310.9,1356,65.3,66,1,0,0,1,0,0
6179,L53358,0.9831038798498123,167,False,L,301.1,310.9,1282,67.9,10,1,0,0,1,0,0
6249,L53428,0.9831038798498123,168,False,L,300.8,310.1,1405,61.2,189,1,0,0,1,1,0
6256,L53435,0.9831038798498123,169,False,L,301.0,310.5,1379,57.3,204,1,0,0,0,1,0
6679,M21538,0.9831038798498123,170,False,M,301.5,310.7,1336,65.6,0,1,0,0,1,0,0
6800,M21659,0.9831038798498123,171,False,M,301.1,310.7,2636,12.2,100,1,0,0,1,0,0
6933,L54112,0.9831038798498123,172,False,L,300.8,311.4,1322,67.2,18,1,0,0,1,0,0
7565,M22424,0.9831038798498123,173,False,M,300.3,311.2,1381,65.2,136,1,0,0,1,0,0
7570,L54749,0.9831038798498123,174,False,L,300.2,311.0,1255,71.8,149,1,0,0,1,0,0
7757,L54936,0.9831038798498123,175,False,L,300.5,311.8,1368,57.9,191,1,0,0,0,1,0
7760,L54939,0.9831038798498123,176,False,L,300.4,311.8,1272,59.2,198,1,0,0,0,1,0
8196,L55375,0.9831038798498123,177,False,L,299.4,310.8,1376,53.9,215,1,0,0,0,1,0
8246,M23105,0.9831038798498123,178,False,M,299.0,310.3,1303,68.6,111,1,0,0,1,0,0
8308,M23167,0.9831038798498123,179,False,M,298.7,310.1,1402,69.7,64,1,0,0,1,0,0
8438,L55617,0.9831038798498123,180,False,L,298.7,309.8,1181,65.9,203,1,0,0,0,1,0
9176,L56355,0.9831038798498123,181,False,L,297.8,309.0,1403,64.2,0,1,0,0,1,0,0
9494,L56673,0.9831038798498123,182,False,L,299.1,309.8,1398,55.4,217,1,0,0,0,1,0
9655,L56834,0.9831038798498123,183,False,L,299.1,310.0,1367,56.3,203,1,0,0,0,1,0
9665,L56844,0.9831038798498123,184,False,L,299.1,310.2,1317,54.8,231,1,0,0,0,1,0
4118,L51297,0.9548298761169497,185,False,L,301.9,310.5,1340,55.7,204,1,0,0,0,1,0
4158,L51337,0.9523809523809524,186,False,L,302.0,310.5,1263,60.6,90,1,0,1,0,0,0
5220,L52399,0.9523809523809524,187,False,L,303.8,313.0,1365,59.9,205,1,0,0,0,1,0
162,L47341,0.945288753799392,188,False,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
443,L47622,0.945288753799392,189,False,L,297.4,308.5,1399,61.5,61,1,0,0,1,0,0
1162,L48341,0.945288753799392,190,False,L,297.0,307.8,1316,61.2,200,1,0,0,0,1,0
1392,L48571,0.945288753799392,191,False,L,298.9,310.2,2737,8.8,142,1,0,0,1,0,0
1584,L48763,0.945288753799392,192,False,L,298.2,308.4,1310,61.0,189,1,0,0,0,1,0
3020,L50199,0.945288753799392,193,False,L,300.5,309.8,1379,54.2,207,1,0,0,0,1,0
4122,M18981,0.945288753799392,194,False,M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0
4154,M19013,0.945288753799392,195,False,M,302.0,310.4,1212,55.6,79,1,0,1,0,0,0
4721,M19580,0.945288753799392,196,False,M,303.4,311.7,1353,44.1,192,1,0,1,0,0,0
243,L47422,0.9391283099385942,197,False,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0
381,L47560,0.9323017408123792,198,False,L,297.5,308.3,2564,12.8,127,1,0,0,1,0,0
1124,H30537,0.9323017408123792,199,False,H,296.6,307.7,1386,62.3,100,1,0,0,1,0,0
1596,L48775,0.9323017408123792,200,False,L,298.0,308.2,1365,52.9,218,1,0,0,0,1,0
2503,L49682,0.9323017408123792,201,False,L,299.2,309.0,1515,48.9,228,1,0,0,0,1,0
2582,L49761,0.9323017408123792,202,False,L,299.2,309.1,1345,60.7,191,1,0,0,0,1,0
3370,L50549,0.9323017408123792,203,False,L,301.5,310.9,2760,8.0,15,1,0,0,1,0,0
3529,L50708,0.9323017408123792,204,False,L,302.0,310.9,1378,53.1,212,1,0,0,0,1,0
4779,H34192,0.9323017408123792,205,False,H,303.6,312.2,1371,54.6,112,1,0,1,0,0,0
4852,L52031,0.9323017408123792,206,False,L,303.7,312.1,1363,51.8,90,1,0,1,0,0,0
5049,H34462,0.9323017408123792,207,False,H,304.0,313.2,1271,68.6,161,1,0,0,1,0,0
6079,L53258,0.9323017408123792,208,False,L,300.8,310.7,1339,59.1,203,1,0,0,0,1,0
6498,L53677,0.9323017408123792,209,False,L,300.8,309.9,1312,65.3,192,1,0,0,0,1,0
6991,L54170,0.9323017408123792,210,False,L,300.7,311.1,2478,13.4,170,1,0,0,1,0,0
7084,L54263,0.9323017408123792,211,False,L,300.7,310.4,1416,61.8,209,1,0,0,1,1,0
7670,L54849,0.9323017408123792,212,False,L,300.7,311.8,1336,58.4,189,1,0,0,0,1,0
1096,L48275,0.8888888888888888,213,False,L,296.9,307.5,2721,9.3,18,1,0,0,1,0,0
1785,L48964,0.8817966903073285,214,False,L,298.3,308.0,2886,3.8,57,1,0,0,1,0,0
2332,L49511,0.8817966903073285,215,False,L,299.3,308.6,1384,53.6,218,1,0,0,0,1,0
4033,L51212,0.8817966903073285,216,False,L,302.0,310.8,1383,50.3,231,1,0,0,0,1,0
5062,L52241,0.8817966903073285,217,False,L,304.0,312.9,1363,62.5,200,1,0,0,0,1,0
8927,M23786,0.8817966903073285,218,False,M,297.3,308.3,1459,59.6,207,1,0,0,1,1,0
3351,L50530,0.8619909502262444,219,False,L,301.4,310.8,1285,62.6,183,1,0,0,0,1,0
5489,L52668,0.8619909502262444,220,False,L,302.7,312.2,1450,52.1,213,1,0,0,0,1,0
5618,L52797,0.8619909502262444,221,False,L,303.1,312.4,1404,61.5,127,1,0,0,1,0,0
9765,L56944,0.8619909502262444,222,False,L,298.5,309.5,1294,66.7,12,1,0,0,1,0,0
4998,M19857,0.8568627450980392,223,False,M,303.6,312.8,2659,11.4,26,1,0,0,1,0,0
2445,L49624,0.8500506585612969,224,False,L,299.2,308.6,1267,68.2,76,1,0,0,1,0,0
4732,L51911,0.849770546516479,225,False,L,303.3,311.6,1301,45.1,219,1,0,1,0,0,0
6541,M21400,0.849770546516479,226,False,M,301.4,310.7,1368,63.7,92,1,0,0,1,0,0
4025,M18884,0.8447596532702916,227,False,M,302.1,311.0,1351,60.3,207,1,0,0,0,1,0
4420,M19279,0.8447596532702916,228,False,M,302.6,310.2,2676,10.8,84,1,0,0,1,0,0
4815,L51994,0.8447596532702916,229,False,L,303.4,311.8,1401,53.0,208,1,0,0,0,1,0
6674,L53853,0.8447596532702916,230,False,L,301.6,310.7,1380,51.8,216,1,0,0,0,1,0
9668,L56847,0.8447596532702916,231,False,L,299.2,310.3,1352,48.9,238,1,0,0,0,1,0
2427,M17286,0.8402467369926693,232,False,M,298.9,308.2,1372,63.6,30,1,0,0,1,0,0
3141,H32554,0.8402467369926693,233,False,H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0
5402,M20261,0.8402467369926693,234,False,M,302.6,312.3,1454,54.8,253,1,1,0,0,1,0
6619,M21478,0.8402467369926693,235,False,M,301.6,310.6,1309,65.8,75,1,0,0,1,0,0
1168,L48347,0.8241758241758242,236,False,L,297.0,308.1,1362,52.5,213,1,0,0,0,1,0
9664,L56843,0.8241758241758242,237,False,L,299.1,310.1,1435,48.8,229,1,0,0,0,1,0
9831,L57010,0.8241758241758242,238,False,L,298.3,309.3,1337,56.1,206,1,0,0,0,1,0
4763,M19622,0.823529411764706,239,False,M,303.7,312.0,2663,11.4,71,1,0,0,1,0,0
195,M15054,0.8164372131831455,240,False,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
4049,L51228,0.8164372131831455,241,False,L,301.9,311.0,2691,12.1,31,1,0,0,1,0,0
328,L47507,0.8111888111888113,242,False,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0
1335,L48514,0.8111888111888113,243,False,L,299.0,310.4,1365,49.1,226,1,0,0,0,1,0
2076,L49255,0.8111888111888113,244,False,L,299.5,309.4,1390,58.8,195,1,0,0,0,1,0
3936,M18795,0.8111888111888113,245,False,M,302.6,311.6,1227,68.2,187,1,0,0,0,1,0
8609,L55788,0.7989684074790459,246,False,L,297.4,308.4,1369,50.6,220,1,0,0,0,1,0
3685,L50864,0.7901960784313725,247,False,L,302.0,311.2,1270,65.3,182,1,0,0,0,1,0
4354,M19213,0.7901960784313725,248,False,M,302.0,309.7,1386,62.7,142,1,0,0,1,0,0
927,L48106,0.7786220871327254,249,False,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0
3580,L50759,0.7786220871327254,250,False,L,301.8,310.6,2672,11.8,124,1,0,0,1,0,0
4977,L52156,0.768818165564098,251,False,L,303.7,312.7,1359,56.8,194,1,0,0,0,1,0
7537,L54716,0.768818165564098,252,False,L,300.1,311.3,2579,12.5,64,1,0,0,1,0,0
7927,L55106,0.768818165564098,253,False,L,300.7,311.9,1335,57.1,194,1,0,0,0,1,0
9654,L56833,0.768818165564098,254,False,L,299.0,309.9,1373,55.7,201,1,0,0,0,1,0
6160,L53339,0.7656350741457124,255,False,L,301.0,311.0,1399,58.0,190,1,0,0,0,1,0
9017,L56196,0.7606837606837606,256,False,L,297.3,308.2,1396,52.7,212,1,0,0,0,1,0
1285,L48464,0.7576136837713809,257,False,L,298.4,309.5,2153,15.3,98,1,0,0,1,0,0
2333,L49512,0.7576136837713809,258,False,L,299.2,308.5,1378,50.4,220,1,0,0,0,1,0
4293,M19152,0.7576136837713809,259,False,M,301.8,310.1,2372,13.9,205,1,0,0,1,0,0
6925,L54104,0.7576136837713809,260,False,L,301.2,311.6,1461,52.9,208,1,0,0,0,1,0
9015,M23874,0.7576136837713809,261,False,M,297.2,308.1,1340,61.3,207,1,0,0,0,1,0
9415,L56594,0.7576136837713809,262,False,L,298.1,308.6,1354,53.9,207,1,0,0,0,1,0
9614,L56793,0.7521008403361344,263,False,L,299.0,310.2,1377,62.5,92,1,0,0,1,0,0
904,L48083,0.7331038798498123,264,False,L,295.7,306.2,2270,14.6,149,1,0,0,1,0,0
1493,M16352,0.7310030395136778,265,False,M,298.0,308.7,1479,58.5,176,1,0,0,1,0,0
9823,L57002,0.7209653092006034,266,False,L,298.5,309.4,1360,60.9,187,1,0,0,0,1,0
7012,L54191,0.7151300236406618,267,False,L,300.5,310.5,2633,12.2,17,1,0,0,1,0,0
2880,M17739,0.7103766071225395,268,False,M,300.6,309.4,1367,63.2,45,1,0,0,1,0,0
3929,L51108,0.7103766071225395,269,False,L,302.6,311.5,1442,59.8,169,1,0,0,1,0,0
2167,M17026,0.7046195131301514,270,False,M,299.6,309.2,1867,23.4,225,1,1,0,0,0,0
3612,L50791,0.7046195131301514,271,False,L,301.7,310.9,1405,46.4,207,1,1,0,0,0,1
6173,L53352,0.7046195131301514,272,False,L,300.8,310.6,1577,37.9,227,1,1,0,0,0,0
7592,M22451,0.7046195131301514,273,False,M,300.5,311.1,1296,61.3,202,1,0,0,0,1,0
8847,M23706,0.7046195131301514,274,False,M,297.4,308.8,1325,62.4,204,1,1,0,0,1,0
